[I 250613 18:06:29 smartConnect:496] Search successful. Found 1 trading symbols for the given query:
    1. exchange: NSE, tradingsymbol: HCLTECH-EQ, symboltoken: 7229
[I 250613 18:06:56 smartConnect:496] Search successful. Found 1 trading symbols for the given query:
    1. exchange: MCX, tradingsymbol: SILVER04JUL25FUT, symboltoken: 436580
[I 250613 18:08:16 smartConnect:496] Search successful. Found 1 trading symbols for the given query:
    1. exchange: NSE, tradingsymbol: AURUM-EQ, symboltoken: 10310
[I 250613 18:08:46 smartConnect:496] Search successful. Found 2860 trading symbols for the given query:
    1. exchange: MCX, tradingsymbol: SILVER04JUL25FUT, symboltoken: 436580
    2. exchange: MCX, tradingsymbol: SILVER05DEC25FUT, symboltoken: 445004
    3. exchange: MCX, tradingsymbol: SILVER05MAR26FUT, symboltoken: 451666
    4. exchange: MCX, tradingsymbol: SILVER05MAY26FUT, symboltoken: 457532
    5. exchange: MCX, tradingsymbol: SILVER05SEP25FUT, symboltoken: 439488
    6. exchange: MCX, tradingsymbol: SILVER1000COM, symboltoken: 545
    7. exchange: MCX, tradingsymbol: SILVER24APR26100000CE, symboltoken: 457542
    8. exchange: MCX, tradingsymbol: SILVER24APR26100000PE, symboltoken: 457622
    9. exchange: MCX, tradingsymbol: SILVER24APR26100250CE, symboltoken: 457541
    10. exchange: MCX, tradingsymbol: SILVER24APR26100250PE, symboltoken: 457621
    11. exchange: MCX, tradingsymbol: SILVER24APR26100500CE, symboltoken: 457540
    12. exchange: MCX, tradingsymbol: SILVER24APR26100500PE, symboltoken: 457620
    13. exchange: MCX, tradingsymbol: SILVER24APR26100750CE, symboltoken: 457539
    14. exchange: MCX, tradingsymbol: SILVER24APR26100750PE, symboltoken: 457619
    15. exchange: MCX, tradingsymbol: SILVER24APR26101000CE, symboltoken: 457538
    16. exchange: MCX, tradingsymbol: SILVER24APR26101000PE, symboltoken: 457618
    17. exchange: MCX, tradingsymbol: SILVER24APR26101250CE, symboltoken: 457534
    18. exchange: MCX, tradingsymbol: SILVER24APR26101250PE, symboltoken: 457535
